Date,Open,High,Low,Close,Adj Close
1993/1/29,43.96875,43.96875,43.75,43.9375,26.299288
1993/2/1,43.96875,44.25,43.96875,44.25,26.486324
1993/2/2,44.21875,44.375,44.125,44.34375,26.542448
1993/2/3,44.40625,44.84375,44.375,44.8125,26.822998
1993/2/4,44.96875,45.09375,44.46875,45,26.93524
1993/2/5,44.96875,45.0625,44.71875,44.96875,26.916538
1993/2/8,44.96875,45.125,44.90625,44.96875,26.916538
1993/2/9,44.8125,44.8125,44.5625,44.65625,26.72949
1993/2/10,44.65625,44.75,44.53125,44.71875,26.766899
1993/2/11,44.78125,45.125,44.78125,44.9375,26.897835
1993/2/12,44.875,44.875,44.59375,44.59375,26.692072
1993/2/16,44.46875,44.46875,43.40625,43.46875,26.0187
1993/2/17,43.46875,43.53125,43.28125,43.4375,25.999992
1993/2/18,43.9375,43.9375,42.8125,43.40625,25.981276
1993/2/19,43.40625,43.5625,43.34375,43.5625,26.074812
1993/2/22,43.6875,43.78125,43.5625,43.71875,26.168346
1993/2/23,43.84375,43.875,43.46875,43.6875,26.149637
1993/2/24,43.71875,44.25,43.71875,44.25,26.486324
1993/2/25,44.21875,44.375,44.125,44.34375,26.542448
1993/2/26,44.4375,44.4375,44.1875,44.40625,26.579865
1993/3/1,44.5625,44.5625,44.21875,44.28125,26.505026
1993/3/2,44.3125,44.9375,44.25,44.9375,26.897835
1993/3/3,45,45.15625,44.9375,45.125,27.010061
1993/3/4,45.1875,45.1875,44.875,44.875,26.860428
1993/3/5,44.9375,45.125,44.71875,44.75,26.785612
1993/3/8,44.84375,45.75,44.84375,45.75,27.384171
1993/3/9,45.65625,45.6875,45.5,45.59375,27.29064
1993/3/10,45.59375,45.6875,45.40625,45.6875,27.346737
1993/3/11,45.71875,45.84375,45.5,45.5625,27.271942
1993/3/12,45.1875,45.21875,44.8125,45.09375,26.991364
1993/3/15,45.0625,45.3125,45.0625,45.3125,27.122303
